,accuracy,macro_f1
Logistic Regression,0.6056701030927835,0.12643274017243955
Random Forest,0.6288659793814433,0.13589605636904503
XGBoost,0.6134020618556701,0.16518403834070894
KNN,0.5335051546391752,0.10699324752623988
